date,source,title,description,url,compound,pos,neg,neu,query
2026-03-23,The Local Sweden,High electricity prices expected in Sweden for the rest of the year,"Electricity prices have skyrocketed in the wake of the Iran war. In southern Sweden in particular, unusually high electricity costs are expected for the rest of the year. Experts say it is likely too late to fix prices.",https://www.thelocal.se/20260323/high-electricity-prices-expected-in-sweden-for-the-rest-of-the-year,-0.5994,0.0,0.074,0.926,"""electricity price"" AND Europe"
2026-03-17,The Conversation Africa,Would more North Sea drilling lower UK energy bills? Our analysis says no,"Maximising North Sea production would reduce bills by just £16 to £82 per year, say researchers.",https://theconversation.com/would-more-north-sea-drilling-lower-uk-energy-bills-our-analysis-says-no-278467,-0.0258,0.067,0.07,0.863,"""electricity price"" AND Europe"
2026-03-17,DW (English),The German village running on its own juice,"While war in the Middle East sends oil prices soaring and households brace for higher bills, one tiny German village has spent 30 years making itself immune to exactly this kind of shock.",https://www.dw.com/en/the-german-village-running-on-its-own-juice/a-76395682,-0.6801,0.047,0.145,0.809,"""electricity price"" AND Europe"
2026-03-11,OilPrice.com,EU Mulls Capping Gas Price as Energy Costs Spike on Iran War,"The European Union is considering emergency relief measures in the wake of the energy price spike amid the Middle East war, including capping the price of natural gas, European Commission President Ursula von der Leyen said on Wednesday. The price spike in oi…",https://oilprice.com/Latest-Energy-News/World-News/EU-Mulls-Capping-Gas-Price-as-Energy-Costs-Spike-on-Iran-War.html,0.4588,0.228,0.145,0.627,"""electricity price"" AND Europe"
2026-03-28,DW (English),Solar is winning the energy race,"The world’s cheapest power source is scaling at warp speed, pushing coal, gas and nuclear aside. Since the turn of the century, the expansion of solar power has surpassed expectations, more than any other energy source. 

Once extremely expensive and only use…",https://www.dw.com/en/solar-is-winning-the-energy-race/a-76517556,0.765,0.144,0.0,0.856,"""electricity price"" AND Europe"
2026-03-24,Lse.ac.uk,How should governments respond to the Iran energy crisis?,"Energy prices have risen sharply since the start of the war in Iran. Daisy Jameson and Carina Perez argue European governments should act swiftly to limit the impact of high … Continued
The post How should governments respond to the Iran energy crisis? first …",https://blogs.lse.ac.uk/europpblog/2026/03/24/iran-energy-crisis-eu-gas-prices-government-response/,-0.8541,0.123,0.214,0.663,"""electricity price"" AND Europe"
2026-03-16,Naftemporiki.gr,Papastavrou: Europe must be prepared with targeted measures,"“Another international crisis is knocking on Europe’s door, testing its reflexes,” Environment and Energy Minister Stavros Papastavrou said upon his arrival at the EU Council on energy issues.
As he…
Papastavrou: Europe must be prepared with targeted measures…",https://www.naftemporiki.gr/english/2086072/papastavrou-europe-must-be-prepared-with-targeted-measures/,0.2263,0.151,0.077,0.772,"""electricity price"" AND Europe"
2026-03-03,GlobeNewswire,Fingrid Oyj’s Financial Statements Bulletin January–December 2025,"Fingrid’s consolidated financial statements have been drawn up in accordance with the International Financial Reporting Standards (IFRS). Unless otherwise indicated, the figures in parentheses refer to the same period of the previous year. The information rep…",https://www.globenewswire.com/news-release/2026/03/03/3248094/0/en/Fingrid-Oyj-s-Financial-Statements-Bulletin-January-December-2025.html,0.0,0.0,0.0,1.0,"""electricity price"" AND Europe"
2026-03-16,Protothema.gr,Heated exchange between Papastavrou and Sweden’s energy minister over European power grids at the Council of Ministers,"A dispute over the joint planning of electricity grids saw the Greek minister challenge his Swedish counterpart, saying that “ultimatums are not the way we should operate,” and calling for a common European strategy for energy networks, invoking Jacques Delor…",https://en.protothema.gr/2026/03/16/heated-exchange-between-papastavrou-and-swedens-energy-minister-over-european-power-grids-at-the-council-of-ministers/,0.2023,0.09,0.044,0.866,"""electricity price"" AND Europe"
2026-03-04,Protothema.gr,The nightmare of the energy crisis returns: How gasoline and diesel prices are shaping up in the Greek market,Tensions in the Middle East are sending international oil and natural gas prices soaring – Wholesale electricity prices signal steep power bills from April – Concerns over the Strait of Hormuz and possible increases in fuel and electricity costs in the coming…,https://en.protothema.gr/2026/03/04/the-nightmare-of-the-energy-crisis-returns-how-gasoline-and-diesel-prices-are-shaping-up-in-the-greek-market/,-0.4939,0.067,0.099,0.833,"""electricity price"" AND Europe"
2026-03-03,Plos.org,An optimization scheduling model of multi-energy virtual power plants considering uncertainty constraints and multi-energy coupling characteristics,"Existing research on virtual power plants (VPPs) has not fully integrated the coupling relationships among electricity, heat, hydrogen, and carbon, and scheduling strategies under uncertainty conditions remain imperfect. To address this gap, this paper propos…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343212,-0.5423,0.046,0.125,0.829,"""electricity price"" AND Europe"
2026-03-28,Thelocal.com,What are European countries doing to keep fuel costs down?,"War in the Middle East has caused energy market volatility around the globe, forcing governments in Europe to intervene and keep fuel costs down for consumers.",https://www.thelocal.com/20260328/what-are-european-countries-doing-to-keep-fuel-costs-down,-0.4215,0.053,0.098,0.85,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-23,Europa.eu,Luis de Guindos: Interview with El Mundo,The European Central Bank (ECB) is the central bank of the European Union countries which have adopted the euro. Our main task is to maintain price stability in the euro area and so preserve the purchasing power of the single currency.,https://www.ecb.europa.eu/press/inter/date/2026/html/ecb.in260323~b893c61107.en.html,0.0,0.0,0.0,1.0,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-24,NPR,Asia boosts coal use as Iran war squeezes global LNG supplies,Analysts say coal may stabilize supplies for now but they warn that continued reliance on the polluting fuel will worsen air pollution.,https://www.npr.org/2026/03/24/g-s1-114940/asia-boosts-coal-use-as-iran-war-squeezes-global-lng-supplies,-0.7814,0.042,0.217,0.741,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-28,OilPrice.com,Why Spain Is Weathering Europe’s Energy Crunch Better Than Most,Europe has “sleepwalked into yet another energy crisis” watching energy prices spike across the continent for the second time in four years due to instability in global politics and energy trade. Four years after the Russian invasion of Ukraine sent global en…,https://oilprice.com/Alternative-Energy/Solar-Energy/Why-Spain-Is-Weathering-Europes-Energy-Crunch-Better-Than-Most.html,0.8885,0.227,0.0,0.773,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-02,GlobeNewswire,TURBO ENERGY HELPS INDUSTRIAL OPERATORS SHIELD MARGINS FROM ENERGY PRICE SHOCKS AS GLOBAL VOLATILITY INTENSIFIES,Real-world deployments totaling 366 MWh demonstrate how AI-driven renewable electrification reduces exposure to volatile fuel markets and strengthens financial resilience Real-world deployments totaling 366 MWh demonstrate how AI-driven renewable electrificat…,https://www.globenewswire.com/news-release/2026/03/02/3247368/0/en/TURBO-ENERGY-HELPS-INDUSTRIAL-OPERATORS-SHIELD-MARGINS-FROM-ENERGY-PRICE-SHOCKS-AS-GLOBAL-VOLATILITY-INTENSIFIES.html,0.8388,0.26,0.082,0.658,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-30,GlobeNewswire,"Turbo Energy Expects to Report 130%–140% Revenue Growth, Reaching $22.5 – $23.5 Million in 2025 Based on Preliminary Unaudited Results",Company Advances Strategic Transformation into an AI-Driven Intelligent Energy Platform and Provides 2026 Outlook Company Advances Strategic Transformation into an AI-Driven Intelligent Energy Platform and Provides 2026 Outlook,https://www.globenewswire.com/news-release/2026/03/30/3264600/0/en/Turbo-Energy-Expects-to-Report-130-140-Revenue-Growth-Reaching-22-5-23-5-Million-in-2025-Based-on-Preliminary-Unaudited-Results.html,0.9287,0.289,0.0,0.711,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-24,Abcnews.com,Asia boosts coal use as Iran war squeezes global LNG supplies,Asian countries are burning more coal to keep power going as the war in the Middle East disrupts other fossil fuel supplies,https://abcnews.com/Business/wireStory/asia-boosts-coal-iran-war-squeezes-global-lng-131346260,-0.7579,0.057,0.195,0.748,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-14,Activistpost.com,"The Real Agenda Behind Venezuela, Iran & Greenland","This is not about Liberating Oppressed Peoples, it is about Establishing Global Maritime Supremacy & a Chokehold on World Trade I had written an article several months back discussing the real agenda behind Trump’s enthusiastic backing of the sale CK Hutchiso…",https://www.activistpost.com/the-real-agenda-behind-venezuela-iran-greenland/,0.7231,0.152,0.0,0.848,"""energy market"" AND (Spain OR Portugal OR Iberia)"
